geom,Plan_ID,File_Name,Allocation_Area,Planning_Area,Location_Description,Coordinates
POINT (1375993.1883762516 569341.0785817523),25547,TURLEY'S OVERLOOK,Established Communities,Elkridge,ILCHESTER RD AT TALBOT LANDING,"(39.2299,-76.7753)"
POINT (1369340.0913013555 554441.8268466424),25392,FAZ PROPERTY,Established Communities,Columbia,N SIDE LARK BROWN RD W OF WATERLOO RD,"(39.1889,-76.7988)"
POINT (1384093.3907030374 560820.0789882299),25265,AWILDA ACRES - LOT 1,Established Communities,Elkridge,S SIDE BAUMAN DR,"(39.2065,-76.7467)"
POINT (1376791.0645699948 551713.8999880478),25508,MORRIS PLACE,ELK - Growth &amp; Revitalization,Elkridge,WEST SIDE OF US RT 1 SOUTH SIDE OF CEMETERY LN,"(39.1814,-76.7725)"
POINT (1343433.134700179 595828.1185869388),25417,"VILLAGES AT TURF VALLEY, PH. 1, SEC. 3",EC - Growth &amp; Revitalization,Ellicott City,N SIDE FAIRMONT LN W OF RESORT RD,"(39.3027,-76.8902)"
POINT (1362908.4325483516 589232.584637193),25533,THE GATHERINGS AT ELLICOTT'S RETREAT - PH. 1,Established Communities,Ellicott City,TERMINUS OF CARL'S COURT,"(39.2846,-76.8215)"
POINT (1362908.4325483516 589232.584637193),25258,THE GATHERINGS AT ELLICOTT'S RETREAT,Established Communities,Ellicott City,TERMINUS OF CARL'S COURT,"(39.2846,-76.8215)"
POINT (1386924.2046741545 551854.6962453723),25196,OXFORD SQUARE,ELK - Growth &amp; Revitalization,Elkridge,S SIDE OF ST MARGARETS BLVD AT COCA COLA DR,"(39.1818,-76.7367)"
POINT (1334597.942366965 560902.7941511031),25517,"TROTTER WOODS, LOT 24",Established Communities,Columbia,N SIDE TALL TIMBER DR 650' W OF TROTTER RD,"(39.2067,-76.9214)"
POINT (1354207.5763216093 575464.174796002),25488,CENTENNIAL LAKE OVERLOOK,Established Communities,Ellicott City,WELLFORD DR ,"(39.2467,-76.8522)"
POINT (1335966.6476829648 544332.2919834275),25522,MAPLE LAWN FARMS,SE - Growth &amp; Revitalization,Southeast,EAST SIDE OF FEDERAL ST SOUTH OF DAIRY ST,"(39.1611,-76.9165)"
POINT (1361454.7698957287 536932.4686365612),25478,LAWRENCE WHITEHEAD PROPERTY - PARCEL 345,Established Communities,Southeast,NE QUADRANT COMMERCIAL ST & COMMERCE ST,"(39.1408,-76.8266)"
POINT (1334687.9343430325 564293.5081524923),25208,"TAJ PROPERTY, LOTS 1 AND 2",Established Communities,Columbia,TROTTER RD N TROTTER CROSSING LN,"(39.216,-76.921)"
POINT (1380402.4623332657 562445.0012636296),25140,MONTGOMERY CROSSING PHASE 2,Established Communities,Elkridge,S SIDE MONTGOMERY RD W OF MARSHALEE DR,"(39.2109,-76.7597)"
POINT (1351473.6567582637 529241.3234981168),25138,"HIGH RIDGE MEADOWS, SECTION TWO",Established Communities,Southeast,INTERSECTION OF OLD SCAGGSVILLE RD & HIGH RIDGE RD,"(39.1196,-76.8618)"
POINT (1336676.471076697 544521.3305361923),25396,MAPLE LAWN FARMS,SE - Growth &amp; Revitalization,Southeast,"SOUTH OF IAGER BLVD, WEST OF PACA ST, NORTH OF HOLSTEIN ST","(39.1617,-76.914)"
POINT (1336110.5223424807 544073.4633017238),25357,MAPLE LAWN FARMS,SE - Growth &amp; Revitalization,Southeast,NORTH OF IAGER BLVD EAST OF FEDERAL ST,"(39.1604,-76.916)"
POINT (1375868.2190483771 551237.7380676251),24859,"BROMPTON HOUSE - (GROSVENOR HOUSE, PHASE II)",ELK - Growth &amp; Revitalization,Elkridge,W SIDE BLUE STREAM DR OPPOSITE SAGE AVE,"(39.1801,-76.7757)"
POINT (1336344.9555099048 544250.7670573387),25363,MAPLE LAWN FARMS GARDEN DIST AREA 1,SE - Growth &amp; Revitalization,Southeast,TERMINUS OAK CREST LANE,"(39.1609,-76.9152)"
POINT (1351363.0389203504 586864.8529761918),24768,DEMIREL PLAZA,Established Communities,Ellicott City,S SIDE OF FREDERICK RD W OF CENTENNIAL LN,"(39.2781,-76.8622)"
POINT (1335934.882639043 544021.2239858694),25340,MAPLE LAWN FARMS,SE - Growth &amp; Revitalization,Southeast,S SIDE GREEN ST E OF FEDERAL ST,"(39.1603,-76.9166)"
POINT (1354449.6663696095 539791.4921297934),25150,WINCOPIA FARMS,Established Communities,Southeast,EAST SIDE OF GORMAN RD AT WINCOPIA FARMS WAY,"(39.1487,-76.8513)"
POINT (1352140.1395228356 527539.4702701345),25424,SABATELLI PROPERTY,Established Communities,Southeast,SW SIDE OF SCAGGSVILLE RD OPPOSITE GROSS AVE,"(39.115,-76.8595)"
POINT (1345549.5204718187 596271.6362162698),25203,VILLAGES AT TURF VALLEY PH 2 SEC 2,EC - Growth &amp; Revitalization,Ellicott City,"BOUNDED BY MARRIOTSVILLE RD ON WEST, I-70 ON NORTH, TURF VALLEY RD TO EAST,","(39.304,-76.8827)"
POINT (1376469.044798836 552042.2001928296),24687,BLUE STREAM TOWNS - SECTION 2,ELK - Growth &amp; Revitalization,Elkridge,TERMINUS OF BLUE STREAM DR,"(39.1823,-76.7736)"
POINT (1354726.7615911923 575174.1117125843),25312,CENTENNIAL LAKE OVERLOOK,Established Communities,Ellicott City,WELLFORD DR,"(39.2459,-76.8503)"
POINT (1343013.3313483521 595001.9077521916),18212,Villages at Turf Valley - Phase 4,Ellicott City,Ellicott City,NW SIDE RESORT RD E OF MARRIOTTSVILLE RD,"(39.3005,-76.8917)"
POINT (1339848.253140349 537423.9539691918),25175,CHERRYTREE PARK,Established Communities,Southeast,W SIDE OF ICE CRYSTAL DR,"(39.1421,-76.9028)"
POINT (1376479.4588717073 570642.101963291),25154,KLAMUT PROPERTY LOT 5,Established Communities,Elkridge,W SIDE ILCHESTER RD S OF ELLIS LN,"(39.2335,-76.7736)"
POINT (1386282.6345927715 552550.2684915736),24711,OXFORD SQUARE ,ELK - Growth &amp; Revitalization,Elkridge,INTERSECTION OF COCA COLA DR & PARK CIRCLE DR,"(39.1837,-76.739)"
POINT (1354555.8275923952 539290.1665784027),25189,WINCOPIA FARMS,Established Communities,Southeast,S SIDE WINCOPIA FARMS WAY,"(39.1473,-76.8509)"
POINT (1351084.4578460045 528635.9279933814),24814,"HIGH RIDGE MEADOWS, SEC. 1  (DEER SPRINGS)",Established Communities,Southeast,INTERSECTION OF OLD SCAGGSVILLE RD & HIGH RIDGE RD,"(39.118,-76.8632)"
POINT (1335719.0417760983 543760.6320680752),25177,MAPLE LAWN FARMS,SE - Growth &amp; Revitalization,Southeast,IAGER BLVD AT FEDERAL ST,"(39.1596,-76.9174)"
POINT (1345769.1712923497 545429.0034321919),25234,KINDLER OVERLOOK II,Established Communities,Southeast,TERMINUS OF KINDLER OVERLOOK DR,"(39.1642,-76.8819)"
POINT (1371834.3850793391 563377.58437277),25251,SCARBOROUGH ESTATES,Established Communities,Elkridge,SE SIDE OLD MONTGOMERY RD N OF BRIGHTFIELD RD,"(39.2135,-76.79)"
POINT (1367909.9816363528 592641.0854601916),25066,"CARVER ESTATES, LOTS 2 & 3",Established Communities,Ellicott City,W SIDE OF HIGH RIDGE RD 600' S OF CHURCH LANE RD,"(39.294,-76.8038)"
POINT (1385999.8574678488 560038.5696253795),24979,"SCHAFER PROPERTY, LOTS 2 & 3",Established Communities,Elkridge,W SIDE HUNT CLUB RD S OF HUNTER RD,"(39.2043,-76.74)"
POINT (1344496.9617583528 550655.5447011031),24408,"HOLIDAY HILLS, SECTION 4, LOTS 110 & 111",Established Communities,Southeast,NW QUADRANT HUNTING LN & NEWBERRY DR,"(39.1785,-76.8864)"
POINT (1350035.8252252042 555326.3204864413),25035,DAVID N. ELLIOTT II PROPERTY,Established Communities,Columbia,E SIDE SHAKER DR N OF SENECA DR,"(39.1914,-76.8669)"
POINT (1378559.2454923503 562700.9713281915),25071,FUHR PROPERTY  (5814 BELLANCA DRIVE),Established Communities,Elkridge,BELLANCA DR ACROSS FROM GARDENVIEW DR,"(39.2116,-76.7662)"
POINT (1353814.9315974712 538054.2629744709),24709,WALDEN WOODS,SE - Growth &amp; Revitalization,Southeast,E SIDE GORMAN RD 1400' N OF SKYLARK BLVD,"(39.1439,-76.8535)"
POINT (1343513.3218816742 537200.9449934419),25057,RESERVIOR ESTATES,Established Communities,Southeast,S SIDE SCAGGSVILLE RD E OF ORNDORFF WAY,"(39.1415,-76.8899)"
